Player, Score
Eddy Beers,0.212714672
Kevin Hayes,0.212381193
Lee Stempniak,0.212072747
Greg Paslawski,0.211931046
Tom Johnson,0.211919753
Tim Connolly,0.211888108
Kyle Turris,0.211791286
Dick Redmond,0.211724472
Pat Elynuik,0.21163386
Shawn Burr,0.211577462
Andrei Svechnikov,0.211408779
Travis Konecny,0.211404736
Doug Brown,0.211283387
Grant Warwick,0.211057924
Maxim Afinogenov,0.21090069
Andrew Cogliano,0.210715227
Ken Mosdell,0.21068897
Terry Ruskowski,0.210463776
Martin Lapointe,0.209740437
Harry Hyland,0.209577586
Pierre-Luc Dubois,0.209551674
Paul Holmgren,0.209055973
Flash Hollett,0.208938658
Steve Reinprecht,0.20884908
Ruslan Fedotenko,0.208819429
Nick Metz,0.20869938
Reg Noble,0.208672999
Andrei Kovalenko,0.20865826
Steve Smith,0.208652297
John Klingberg,0.208607635
Dustin Penner,0.208168594
Lubomir Visnovsky,0.208148296
German Titov,0.207905747
Travis Green,0.207686226
Mikael Samuelsson,0.207662064
Quinn Hughes,0.207647268
Doug Bodger,0.207566707
Bob Errey,0.207478794
Jimmy Roberts,0.207418829
Tim Stützle,0.207241054
Doug Crossman,0.207201495
Ryan Callahan,0.206925731
Frans Nielsen,0.206841257
Mike Comrie,0.206779852
Charlie Coyle,0.20670509
Brandon Dubinsky,0.206692143
Mark Parrish,0.206691239
Bob Berry,0.206609333
Nick Bonino,0.206599292
Ryan Malone,0.206488847
Punch Broadbent,0.206209894
Alexandre Burrows,0.206198696
Anders Kallur,0.206180381
Brad Maxwell,0.206148715
Nico Hischier,0.206002431
Don Murdoch,0.205970787
Bud Poile,0.205762663
Ed Jovanovski,0.20575077
Tony Leswick,0.205500453
Drew Stafford,0.20545326
Earl Ingarfield,0.205343789
Gary Sabourin,0.204979335
Brett Callighen,0.204977435
Carter Verhaeghe,0.204970457
Ryan Strome,0.204929763
Daniel Cleary,0.204588175
Max Domi,0.204547125
Jarret Stoll,0.20453377
Craig Smith,0.2044245
Dion Phaneuf,0.204200735
Richard Zednik,0.204167252
Stephen Weiss,0.204055277
Dave Hunter,0.204003032
Ric Seiling,0.203919776
Perry Turnbull,0.203815758
Jyrki Lumme,0.203714053
Juha Widing,0.203554413
Jacques Richard,0.20348364
Randy Mckay,0.203483288
Glen Sharpley,0.20306274
Hec Kilrea,0.203037322
Marcel Pronovost,0.202963175
Simon Nolet,0.202821576
Jesper Bratt,0.202778644
Mark Streit,0.202695715
Darren McCarty,0.202654617
Metro Prystai,0.20239298
Alex Tuch,0.201936027
Larry Aurie,0.201874814
Dave Reid,0.201854369
Sergei Nemchinov,0.201798103
Ray Neufeld,0.201611386
Robert Thomas,0.201602828
George Ferguson,0.201437003
Ladislav Nagy,0.201282961
Billy Harris,0.201257804
Jerry Toppazzini,0.200883786
Johnny Peirson,0.200815321
Ryane Clowe,0.200656325
Goldie Prodgers,0.200605481
Dean McAmmond,0.200418218
Bill Clement,0.200364998
Morgan Rielly,0.200122938
Gordie Roberts,0.199984485
Lars Eller,0.199926689
Paul Ysebaert,0.199809866
Wade Redden,0.199807097
Bob Kelly,0.199667786
Matt Moulson,0.199637443
Niklas Kronwall,0.199577139
Marty Mcinnis,0.199568875
Troy Brouwer,0.199560869
R.J. Umberger,0.199225537
Matt Cooke,0.199123475
Randy Cunneyworth,0.199057552
Bill Thoms,0.199000154
George Gee,0.198893877
Shea Theodore,0.198848392
Brian Skrudland,0.198795957
King Clancy,0.198651964
Joe Benoit,0.198464662
Gaetan Duchesne,0.198443941
Jean-Guy Talbot,0.198335056
Stu Smith,0.198196688
Brian Savage,0.198144537
Steve Konowalchuk,0.198115335
John Van Boxmeer,0.19796987
Todd White,0.197828139
Randy MacGregor,0.197783073
Wayne Smith,0.197783073
Damian Surma,0.197783073
